0 1 0.001149 0.000302
0 2 -0.001057 0.000335
1 1 0.001055 0.000289
1 2 -0.000889 -0.000285
2 1 0.000969 0.000263
2 2 -0.000741 0.000247
3 1 0.000833 0.000264
3 2 -0.000585 -0.000233
4 1 0.000982 0.000261
4 2 -0.000756 0.000259
5 1 0.001114 0.000277
5 2 -0.000950 0.000286
6 1 0.001234 0.000288
6 2 -0.001157 0.000317
7 1 0.001360 0.000306
7 2 -0.001390 0.000353
8 1 0.001291 0.000282
8 2 -0.001203 0.000315
9 1 0.001212 0.000282
9 2 -0.001010 0.000275
10 1 0.001109 0.000278
10 2 -0.000830 0.000265
11 1 0.000985 0.000267
11 2 -0.000657 -0.000221
12 1 0.001134 0.000285
12 2 -0.000839 0.000256
13 1 0.001276 0.000308
13 2 -0.001049 0.000291
14 1 0.001408 0.000305
14 2 -0.001276 0.000345
15 1 0.001517 0.000313
15 2 -0.001556 0.000383
16 1 0.001466 0.000314
16 2 -0.001350 0.000328
17 1 0.001412 0.000327
17 2 -0.001137 0.000310
18 1 0.001337 0.000327
18 2 -0.000944 0.000286
19 1 0.001259 0.000317
19 2 -0.000756 0.000275
20 1 0.001394 0.000351
20 2 -0.000941 0.000309
21 1 0.001526 -0.000374
21 2 -0.001165 0.000338
22 1 0.001628 0.000381
22 2 -0.001418 0.000383
23 1 0.001731 0.000373
23 2 -0.001718 0.000435
24 1 0.001760 0.000382
24 2 -0.001532 -0.000371
25 1 0.001798 0.000417
25 2 -0.001349 0.000356
26 1 0.001844 -0.000453
26 2 -0.001180 0.000335
27 1 0.001907 0.000456
27 2 -0.001009 0.000305
28 1 0.001931 0.000479
28 2 -0.001187 0.000344
29 1 0.001744 -0.000482
29 2 -0.001252 0.000358
30 1 0.001577 0.000426
30 2 -0.001339 0.000402
31 1 0.001490 0.000359
31 2 -0.001504 -0.000454
32 1 0.001413 0.000373
32 2 -0.001306 0.000435
33 1 0.001318 0.000408
33 2 -0.001092 0.000406
34 1 0.001180 0.000423
34 2 -0.000889 0.000350
35 1 0.001034 0.000404
35 2 -0.000709 0.000307
36 1 0.001221 0.000425
36 2 -0.000927 0.000337
37 1 0.001416 0.000445
37 2 -0.001152 0.000390
38 1 0.001534 -0.000457
38 2 -0.001371 0.000422
39 1 0.001698 0.000455
39 2 -0.001638 0.000528
40 1 0.001576 -0.000484
40 2 -0.001380 0.000500
